Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0027778, 22.93 , 500.24 , 4.062 , 0 , 847.211 , 4.499 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,     6.958807     ,              4.305105     ,              0.6186555 , 0.2570207 , 0.6163434 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0041667, 23.234 , 500.352 , 4.058 , 0 , 843.54 , 4.547 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,    6.960366     ,              4.306068     ,              0.6186555 , 0.5140414 , 1.232687 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0055556, 23.568 , 500.304 , 4.058 , 0 , 854.191 , 4.554 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.959698     ,              4.305655     ,              0.6186555 , 0.771062 , 1.84903 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0069445, 23.895 , 500.383 , 4.059 , 0 , 845.698 , 4.573 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.960797     ,              4.306335     ,              0.6186555 , 1.028083 , 2.465374 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0083334, 24.203 , 500.386 , 4.061 , 0 , 852.772 , 4.58 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,    6.960838     ,              4.306361     ,              0.6186556 , 1.285103 , 3.081717 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0097222, 24.542 , 500.396 , 4.062 , 0 , 851.668 , 4.581 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.960978     ,              4.306447     ,              0.6186555 , 1.542124 , 3.698061 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0111111, 24.906 , 500.516 , 4.065 , 0 , 846.808 , 4.585 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.962647     ,              4.30748      ,              0.6186555 , 1.799145 , 4.314404 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0125001, 25.228 , 501.115 , 4.066 , 0 , 848.887 , 4.584 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.97098      ,              4.312635     ,              0.6186555 , 2.056165 , 4.930748 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0139005, 25.567 , 501.297 , 4.068 , 0 , 847.047 , 4.585 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.973512     ,              4.314201     ,              0.6186555 , 2.313186 , 5.547091 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
00.0152894, 25.845 , 501.298 , 4.071 , 0 , 854.413 , 4.585 , 0 , 0 , 0 , 0 , 20.421 , 0.322 , 50 , 5 , 0 , 0 ,   6.973526     ,              4.31421      ,              0.6186555 , 2.570207 , 6.163435 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.771
